pop1,pop2,pop3,pop4,pop5,pop6,lan1,lan2,inc1,inc2,inc3,inc4,own1,own2,own3,own4,lab1,lab2,lab3,fsa
59234,27713,21711,20.614.2,65.2,37.9,0.8832850570795706,0.10197648662463793,38648,34275,38695,87326,55.7,13.8,14.4,0.8022358264572798,67.2,11.3,0.283646408839779,T0A
64072,28009,24427,19.517.5,63.0,41.8,0.8762317698068585,0.11296807252660623,38606,37335,35902,81524,54.2,14.0,8.9,0.8482056256062076,69.5,7.9,0.26007921194272365,T0B
62701,28739,23081,20.916.2,62.9,40.1,0.9032595573440644,0.08804828973843058,34467,34255,31946,76159,57.4,15.4,11.4,0.8180574555403557,66.3,11.6,0.29827549499680645,T0C
43729,22179,16779,17.215.8,67.0,43.1,0.9133867409729479,0.07744107744107744,37583,25495,37233,85461,59.2,14.9,11.6,0.8193699731903485,66.5,11.2,0.2879117689740241,T0E
42905,18519,15103,23.611.7,64.7,35.5,0.8439069984811309,0.14113798340927677,35281,24050,35330,81265,55.7,13.4,16.8,0.7843866171003717,67.5,12.3,0.28106600557793615,T0G
84336,33105,28826,25.111.5,63.4,33.5,0.7577187220065691,0.22478351746790087,36865,46025,37134,84440,60.9,14.0,16.1,0.7930743243243243,68.4,10.6,0.2675320434321169,T0H
50783,19938,17953,21.313.6,65.0,38.5,0.8454125677574784,0.1429431840995784,38393,27865,35688,80443,61.9,13.2,9.8,0.8003978779840849,70.1,8.2,0.24648175980325182,T0J
55487,20521,17681,24.516.2,59.3,36.5,0.7441331635437511,0.24276878297253046,32221,26420,30045,71953,53.2,13.3,9.3,0.8072680077871512,62.8,6.1,0.31298527443105756,T0K
61161,23366,21063,20.216.4,63.4,41.2,0.8089434241950094,0.1766449806472865,34683,31455,32187,79674,56.3,16.6,8.7,0.8240846681922197,63.6,8.5,0.3213219851884603,T0L
67484,29041,25889,19.315.5,65.3,40.8,0.928752233472305,0.06417510422870756,38548,40290,35275,83984,63.8,15.7,7.9,0.8226332970620239,70.3,9.5,0.24892580922371813,T0M
3631,1627,1241,25.47.3,67.1,31.8,0.7878787878787878,0.2024793388429752,40320,1995,48563,97024,53.1,13.4,26.7,0.6971830985915493,64.9,16.6,0.3228200371057514,T0P
19,19,7,00,0,0,,,0,0,0,0,0,0,0,,0,0,,T0V
25409,12276,11501,15.020.8,64.1,43.9,0.9111246695139312,0.08094366483628229,32337,14315,31541,58046,55.6,14.0,11.7,0.6153846153846154,62.4,10.9,0.33922001471670343,T1A
32769,13312,12851,19.516.4,64.1,39.8,0.9047987616099071,0.08560371517027864,40037,19255,37046,87589,56.6,11.9,13.6,0.8068938503721113,66.1,9.4,0.29867638595818147,T1B
9391,3970,3817,19.510.3,70.2,36.3,0.9397975492807672,0.053809270111880664,43861,5975,40731,91252,64.9,10.9,12.6,0.7752956636005256,72.5,8.6,0.233003300330033,T1C
10339,3956,3721,22.814.4,62.9,35.6,0.7458455522971652,0.2429130009775171,36096,5685,34700,75376,64.3,13.8,16.8,0.7723463687150838,69.3,7.3,0.2804642166344294,T1G
27385,11443,11050,17.115.3,67.7,38.5,0.8191214470284238,0.165374677002584,35208,16480,36522,69120,63.7,14.3,12.5,0.7216400911161731,69.0,7.0,0.2922727272727273,T1H
22960,10245,9438,17.516.5,66.0,35.4,0.8565665620797849,0.12998655311519497,37221,13380,36495,69052,66.8,16.9,13.8,0.605349344978166,70.7,6.2,0.25954415954415955,T1J
45932,19288,18129,17.916.6,65.5,37.5,0.8715919085312225,0.11609498680738786,38469,27640,35375,81759,55.1,10.3,10.0,0.7156241388812346,67.7,6.4,0.28780947255113026,T1K
7442,2581,2398,10.68.7,80.6,35.3,0.7471341874578556,0.22454484153742413,37218,4710,33798,81465,54.6,23.8,9.8,0.4718162839248434,83.6,4.7,0.13006597549481622,T1L
9379,3423,3358,23.614.8,61.7,35.5,0.8429573664328116,0.15002698327037237,38912,5305,38548,81579,63.2,12.9,7.4,0.8120184899845917,70.5,5.3,0.2613314447592068,T1M
16843,6537,6235,20.115.1,64.8,39.2,0.9243975903614458,0.06867469879518072,40772,10100,38336,89459,69.7,16.9,11.1,0.7848206839032527,71.2,8.1,0.25193199381761977,T1P
17011,6373,5965,22.511.0,66.6,35.7,0.6937869822485208,0.2775147928994083,41825,10115,40620,86685,66.7,14.4,14.8,0.6924384027187765,74.2,9.1,0.2325671990650565,T1R
32951,11317,11075,23.310.7,66.0,37.1,0.9265493496557001,0.06426931905126243,46843,19565,44117,118846,73.5,15.0,3.8,0.8495897903372835,73.0,7.7,0.23254426099065048,T1S
15593,6424,6082,18.321.2,60.5,43.3,0.8639610389610389,0.12175324675324675,38667,8935,36308,81408,60.2,16.7,7.3,0.7804054054054054,66.2,7.7,0.3017345703912868,T1V
