Year,fsa,saf1,saf2,saf3,saf4,saf5,saf6,saf7,saf8
2017,T1X,2.0,9.0,,2.0,,,12.0,1.0
2017,T1Y,130.0,61.0,121.0,118.0,9.0,46.0,1049.0,81.0
2017,T2A,356.0,169.0,165.0,225.0,34.0,87.0,1716.0,148.0
2017,T2B,61.0,104.0,33.0,46.0,11.0,13.0,493.0,38.0
2017,T2C,37.0,104.0,25.0,18.0,1.0,2.0,404.0,26.0
2017,T2E,181.0,507.0,104.0,144.0,21.0,18.0,1508.0,116.0
2017,T2G,133.0,285.0,30.0,35.0,6.0,24.0,542.0,44.0
2017,T2H,47.0,82.0,26.0,35.0,3.0,4.0,429.0,50.0
2017,T2J,56.0,101.0,52.0,84.0,10.0,4.0,610.0,52.0
2017,T2K,81.0,96.0,75.0,103.0,13.0,16.0,602.0,50.0
2017,T2L,22.0,51.0,28.0,34.0,8.0,1.0,199.0,18.0
2017,T2M,42.0,57.0,45.0,105.0,5.0,5.0,389.0,20.0
2017,T2N,121.0,205.0,63.0,137.0,15.0,10.0,584.0,67.0
2017,T2P,351.0,302.0,23.0,5.0,7.0,50.0,485.0,108.0
2017,T2S,358.0,609.0,61.0,51.0,29.0,40.0,832.0,133.0
2017,T2T,60.0,201.0,90.0,104.0,6.0,4.0,643.0,51.0
2017,T2V,108.0,107.0,81.0,53.0,6.0,14.0,614.0,76.0
2017,T2W,92.0,27.0,69.0,42.0,6.0,9.0,433.0,44.0
2017,T2X,28.0,73.0,68.0,25.0,4.0,2.0,378.0,42.0
2017,T2Y,54.0,52.0,67.0,30.0,7.0,7.0,415.0,40.0
2017,T2Z,67.0,215.0,104.0,51.0,8.0,8.0,755.0,58.0
2017,T3A,60.0,73.0,131.0,31.0,6.0,15.0,498.0,47.0
2017,T3B,119.0,78.0,80.0,55.0,14.0,7.0,601.0,54.0
2017,T3C,108.0,99.0,53.0,60.0,11.0,10.0,437.0,47.0
2017,T3E,73.0,118.0,71.0,127.0,23.0,15.0,628.0,41.0
2017,T3G,51.0,71.0,108.0,18.0,6.0,2.0,398.0,45.0
2017,T3H,60.0,136.0,168.0,29.0,8.0,24.0,453.0,44.0
2017,T3J,281.0,174.0,162.0,120.0,22.0,50.0,1441.0,143.0
2017,T3K,71.0,80.0,141.0,37.0,8.0,15.0,691.0,69.0
2017,T3L,20.0,15.0,71.0,13.0,1.0,2.0,206.0,16.0
2017,T3M,36.0,82.0,55.0,16.0,2.0,,331.0,36.0
2017,T3N,13.0,54.0,22.0,23.0,1.0,1.0,132.0,8.0
2017,T3P,8.0,14.0,24.0,6.0,,,96.0,6.0
2017,T3R,49.0,67.0,51.0,8.0,4.0,1.0,175.0,18.0
2017,T3S,5.0,50.0,3.0,1.0,,,26.0,3.0
2017,T4B,,3.0,1.0,1.0,,,,
2018,T1Y,154.0,111.0,135.0,96.0,18.0,53.0,978.0,58.0
2018,T2A,405.0,202.0,130.0,229.0,36.0,80.0,1395.0,135.0
2018,T2B,92.0,90.0,32.0,42.0,5.0,12.0,431.0,34.0
2018,T2C,51.0,115.0,38.0,36.0,3.0,3.0,368.0,31.0
2018,T2E,209.0,587.0,115.0,172.0,23.0,24.0,1598.0,106.0
2018,T2G,159.0,280.0,21.0,57.0,9.0,26.0,567.0,65.0
2018,T2H,57.0,102.0,23.0,47.0,2.0,3.0,378.0,39.0
2018,T2J,65.0,144.0,55.0,53.0,9.0,5.0,624.0,38.0
2018,T2K,118.0,61.0,100.0,155.0,10.0,19.0,639.0,64.0
2018,T2L,29.0,53.0,13.0,41.0,10.0,7.0,221.0,13.0
2018,T2M,46.0,69.0,41.0,97.0,5.0,8.0,386.0,29.0
2018,T2N,130.0,181.0,54.0,158.0,10.0,15.0,565.0,66.0
2018,T2P,397.0,319.0,22.0,5.0,13.0,58.0,462.0,137.0
2018,T2S,410.0,663.0,73.0,45.0,16.0,59.0,1071.0,152.0
2018,T2T,79.0,150.0,94.0,114.0,3.0,15.0,669.0,51.0
2018,T2V,125.0,171.0,79.0,74.0,9.0,17.0,596.0,64.0
2018,T2W,94.0,24.0,81.0,58.0,5.0,13.0,342.0,49.0
2018,T2X,45.0,98.0,79.0,19.0,,5.0,363.0,42.0
2018,T2Y,62.0,100.0,85.0,26.0,7.0,16.0,424.0,39.0
2018,T2Z,61.0,253.0,113.0,33.0,4.0,7.0,729.0,74.0
2018,T3A,60.0,81.0,165.0,41.0,12.0,18.0,481.0,46.0
